0.1000E+02  0.9552E+00  0.9783E+00  0.9762E+00  0.9890E+00  0.9550E+00  0.9533E+00  0.9474E+00  0.9615E+00  0.9259E+00  0.9733E+00  0.9809E+00  0.9494E+00  0.9206E+00  0.9595E+00  0.9778E+00  0.9637E+00  0.9772E+00  0.9579E+00  0.9416E+00  0.9453E+00  0.9470E+00  0.9252E+00  0.9481E+00  0.9511E+00  0.9565E+00  0.9374E+00  0.9518E+00  0.9238E+00  0.9407E+00  0.9168E+00  0.8958E+00  0.9333E+00  0.9259E+00  0.9081E+00  0.9316E+00  0.9256E+00
0.1050E+02  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.8000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.5000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.8000E+00  0.8000E+00  0.1000E+01  0.1000E+01  0.5000E+00  0.7500E+00  0.6667E+00
0.1100E+02  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.8000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.6667E+00  0.0000E+00  0.1000E+01  0.8571E+00  0.8571E+00  0.1000E+01  0.1000E+01
0.1150E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.6667E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.8889E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.6667E+00
0.1200E+02  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.8000E+00
0.1250E+02  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.5000E+00  0.6667E+00  0.8000E+00  0.8000E+00  0.1000E+01  0.1000E+01
0.1300E+02  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.6667E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.8000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01
0.1350E+02  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01
0.1400E+02  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.5000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.6667E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.6667E+00  0.0000E+00
0.1450E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00
0.1500E+02  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01
0.1550E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.6667E+00
0.1600E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.6667E+00  0.1000E+01
0.1650E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.5000E+00  0.0000E+00
0.1700E+02  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00
0.1750E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00
0.1800E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.1000E+01  0.0000E+00
0.1850E+02  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
